CMS Chronic Conditions Warehouse (CCW) Data Dictionary
Master Beneficiary Summary File (MBSF) Base A/B/C/D Version 2 (V2)
Version — March 2025
SAS name	Label	Type	Length
MDCR_ENTLMT_BUYIN_IND_11	Medicare Entitlement/ Buy-In Indicator - November	CHAR	1
MDCR_ENTLMT_BUYIN_IND_12	Medicare Entitlement/ Buy-In Indicator - December	CHAR	1
HMO_IND_01	HMO Indicator - January	CHAR	1
HMO_IND_02	HMO Indicator - February	CHAR	1
HMO_IND_03	HMO Indicator - March	CHAR	1
HMO_IND_04	HMO Indicator - April	CHAR	1
HMO_IND_05	HMO Indicator - May	CHAR	1
HMO_IND_06	HMO Indicator - June	CHAR	1
HMO_IND_07	HMO Indicator - July	CHAR	1
HMO_IND_08	HMO Indicator - August	CHAR	1
HMO_IND_09	HMO Indicator - September	CHAR	1
HMO_IND_10	HMO Indicator - October	CHAR	1
HMO_IND_11	HMO Indicator - November	CHAR	1
HMO_IND_12	HMO Indicator - December	CHAR	1
DUAL_STUS_CD_01	State Reported Dual Eligible Status Code - January	CHAR	2
DUAL_STUS_CD_02	State Reported Dual Eligible Status Code - February	CHAR	2
DUAL_STUS_CD_03	State Reported Dual Eligible Status Code - March	CHAR	2
DUAL_STUS_CD_04	State Reported Dual Eligible Status Code - April	CHAR	2
DUAL_STUS_CD_05	State Reported Dual Eligible Status Code - May	CHAR	2
DUAL_STUS_CD_06	State Reported Dual Eligible Status Code - June	CHAR	2
DUAL_STUS_CD_07	State Reported Dual Eligible Status Code - July	CHAR	2
DUAL_STUS_CD_08	State Reported Dual Eligible Status Code - August	CHAR	2
DUAL_STUS_CD_09	State Reported Dual Eligible Status Code - September	CHAR	2
DUAL_STUS_CD_10	State Reported Dual Eligible Status Code - October	CHAR	2
DUAL_STUS_CD_11	State Reported Dual Eligible Status Code - November	CHAR	2
DUAL_STUS_CD_12	State Reported Dual Eligible Status Code - December	CHAR	2
Part C
PTC_CNTRCT_ID_01	Part C Contract ID - January	CHAR	5
PTC_CNTRCT_ID_02	Part C Contract ID - February	CHAR	5
PTC_CNTRCT_ID_03	Part C Contract ID - March	CHAR	5
PTC_CNTRCT_ID_04	Part C Contract ID - April	CHAR	5
PTC_CNTRCT_ID_05	Part C Contract ID - May	CHAR	5
PTC_CNTRCT_ID_06	Part C Contract ID - June	CHAR	5
PTC_CNTRCT_ID_07	Part C Contract ID - July	CHAR	5
PTC_CNTRCT_ID_08	Part C Contract ID - August	CHAR	5
PTC_CNTRCT_ID_09	Part C Contract ID - September	CHAR	5
PTC_CNTRCT_ID_10	Part C Contract ID - October	CHAR	5
PTC_CNTRCT_ID_11	Part C Contract ID - November	CHAR	5
PTC_CNTRCT_ID_12	Part C Contract ID - December	CHAR	5
PTC_PBP_ID_01	Part C Plan Benefit Package ID - January	CHAR	3
PTC_PBP_ID_02	Part C Plan Benefit Package ID - February	CHAR	3
PTC_PBP_ID_03	Part C Plan Benefit Package ID - March	CHAR	3
PTC_PBP_ID_04	Part C Plan Benefit Package ID - April	CHAR	3
PTC_PBP_ID_05	Part C Plan Benefit Package ID - May	CHAR	3
PTC_PBP_ID_06	Part C Plan Benefit Package ID - June	CHAR	3
PTC_PBP_ID_07	Part C Plan Benefit Package ID - July	CHAR	3
PTC_PBP_ID_08	Part C Plan Benefit Package ID - August	CHAR	3
PTC_PBP_ID_09	Part C Plan Benefit Package ID - September	CHAR	3
PTC_PBP_ID_10	Part C Plan Benefit Package ID - October	CHAR	3
PTC_PBP_ID_11	Part C Plan Benefit Package ID - November	CHAR	3
PTC_PBP_ID_12	Part C Plan Benefit Package ID - December	CHAR	3
PTC_SGMT_ID_01	Part C Segment Number - January	CHAR	3
PTC_SGMT_ID_02	Part C Segment Number - February	CHAR	3
PTC_SGMT_ID_03	Part C Segment Number - March	CHAR	3
PTC_SGMT_ID_04	Part C Segment Number - April	CHAR	3
