CMS Chronic Conditions Warehouse (CCW) Data Dictionary
Medicare Plan Characteristics File — Plan Base File
Version — October 2025
PRE_ICL_INPP_COINS_2M	Pre-ICL Coinsurance Split Network Preferred - 2 month supply	NUM	12	X	X
PRE_ICL_INPP_COINS_3M	Pre-ICL Coinsurance Split Network Preferred - 3 month supply	NUM	12	X	X
PRE_ICL_INPP_COINS_AVG_1M	Pre-ICL Average Expected Cost Sharing - Split Network Preferred Coinsurance 1M	NUM	12	X	X
PRE_ICL_INPP_COPAY_1M	Pre-ICL Copay Split Network Preferred - 1 month supply	NUM	12	X	X
PRE_ICL_INPP_COPAY_2M	Pre-ICL Copay Split Network Preferred - 2 month supply	NUM	12	X	X
PRE_ICL_INPP_COPAY_3M	Pre-ICL Copay Split Network Preferred - 3 month supply	NUM	12	X	X
PRE_ICL_INPP_COPAY_DAILY	Pre-ICL Copay Split Network Preferred - 1 day supply	NUM	12	X	X
PRE_ICL_DAYS_INPP_1M	Pre-ICL Split Network Preferred - number of days in 1 month supply	NUM	5	X	X
PRE_ICL_DAYS_INPP_2M	Pre-ICL Split Network Preferred - number of days in 2 month supply	NUM	5	X	X
PRE_ICL_DAYS_INPP_3M	Pre-ICL Split Network Preferred - number of days in 3 month supply	NUM	5	X	X
PRE_ICL_INNPP_COINS_1M	Pre-ICL Coinsurance Split Network Standard Retail - 1 month supply	NUM	12	X	X
PRE_ICL_INNPP_COINS_2M	Pre-ICL Coinsurance Split Network Standard Retail - 2 month supply	NUM	12	X	X
PRE_ICL_INNPP_COINS_3M	Pre-ICL Coinsurance Split Network Standard Retail - 3 month supply	NUM	12	X	X
PRE_ICL_INNPP_COINS_AVG_1M	Pre-ICL Average Expected Cost Sharing - Split Network Standard Retail Coinsurance 1M	NUM	12	X	X
PRE_ICL_INNPP_COPAY_1M	Pre-ICL Copay Split Network Standard Retail - 1 month supply	NUM	12	X	X
PRE_ICL_INNPP_COPAY_2M	Pre-ICL Copay Split Network Standard Retail - 2 month supply	NUM	12	X	X
PRE_ICL_INNPP_COPAY_3M	Pre-ICL Copay Split Network Standard Retail - 3 month supply	NUM	12	X	X
PRE_ICL_INNPP_COPAY_DAILY	Pre-ICL Copay Split Network Standard Retail - 1 day supply	NUM	12	X	X
PRE_ICL_DAYS_INNPP_1M	Pre-ICL Split Network Standard Retail - number of days in 1 month supply	NUM	5	X	X
PRE_ICL_DAYS_INNPP_2M	Pre-ICL Split Network Standard Retail - number of days in 2 month supply	NUM	5	X	X
PRE_ICL_DAYS_INNPP_3M	Pre-ICL Split Network Standard Retail - number of days in 3 month supply	NUM	5	X	X
PRE_ICL_OONP_COINS_1M	Pre-ICL Out-of-Network Pharmacy Coinsurance for 1 month Supply	NUM	12	X	X
PRE_ICL_OONP_COINS_OS	Pre-ICL Out-of-Network Pharmacy Coinsurance for other days supply	NUM	12	X	X
PRE_ICL_OONP_COPAY_1M	Pre-ICL Out-of-Network Pharmacy Copay for 1 month supply	NUM	12	X	X
PRE_ICL_OONP_COPAY_OS	Pre-ICL Out-of-Network Pharmacy Copay for other days supply	NUM	12	X	X
PRE_ICL_DAYS_OONP_1M	Pre-ICL Out-of-Network Pharmacy - days in 1 month supply	NUM	5	X	X
PRE_ICL_DAYS_OONP_OS	Pre-ICL Out-of-Network Pharmacy - days in other day supply	NUM	5	X	X
PRE_ICL_MO_COINS_1M	Pre-ICL Coinsurance Standard Mail Order - 1 month supply	NUM	12	X	X
PRE_ICL_MO_COINS_2M	Pre-ICL Coinsurance Standard Mail Order - 2 month supply	NUM	12	X	X
PRE_ICL_MO_COINS_3M	Pre-ICL Coinsurance Standard Mail Order - 3 month supply	NUM	12	X	X
PRE_ICL_MO_COPAY_1M	Pre-ICL Copay Standard Mail Order - 1 month supply	NUM	12	X	X
PRE_ICL_MO_COPAY_2M	Pre-ICL Copay Standard Mail Order - 2 month supply	NUM	12	X	X
PRE_ICL_MO_COPAY_3M	Pre-ICL Copay Standard Mail Order - 3 month supply	NUM	12	X	X
PRE_ICL_MO_COPAY_DAILY	Pre-ICL Copay Standard Mail Order - 1 day supply	NUM	12	X	X
PRE_ICL_DAYS_MO_1M	Pre-ICL Standard Mail Order - number of days in 1 month supply	NUM	5	X	X
PRE_ICL_DAYS_MO_2M	Pre-ICL Standard Mail Order - number of days in 2 month supply	NUM	5	X	X
PRE_ICL_DAYS_MO_3M	Pre-ICL Standard Mail Order - number of days in 3 month supply	NUM	5	X	X
PRE_ICL_MOPP_COINS_1M	Pre-ICL Coinsurance Split Network Preferred Mail Order - 1 month supply	NUM	12	X	X
PRE_ICL_MOPP_COINS_2M	Pre-ICL Coinsurance Split Network Preferred Mail Order - 2 month supply	NUM	12	X	X
PRE_ICL_MOPP_COINS_3M	Pre-ICL Coinsurance Split Network Preferred Mail Order - 3 month supply	NUM	12	X	X
PRE_ICL_MOPP_COPAY_1M	Pre-ICL Copay Split Network Preferred Mail Order - 1 month supply	NUM	12	X	X
PRE_ICL_MOPP_COPAY_2M	Pre-ICL Copay Split Network Preferred Mail Order - 2 month supply	NUM	12	X	X
PRE_ICL_MOPP_COPAY_3M	Pre-ICL Copay Split Network Preferred Mail Order - 3 month supply	NUM	12	X	X
PRE_ICL_MOPP_COPAY_DAILY	Pre-ICL Copay Split Network Preferred Mail Order - 1 day supply	NUM	12	X	X
PRE_ICL_DAYS_MOPP_1M	Pre-ICL Split Network Preferred Mail Order - number of days in 1 month supply	NUM	5	X	X
PRE_ICL_DAYS_MOPP_2M	Pre-ICL Split Network Preferred Mail Order - number of days in 2 month supply	NUM	5	X	X
PRE_ICL_DAYS_MOPP_3M	Pre-ICL Split Network Preferred Mail Order - number of days in 3 month supply	NUM	5	X	X
PRE_ICL_MONPP_COINS_1M	Pre-ICL Coinsurance Split Network Standard Mail Order - 1 month supply	NUM	12	X	X
PRE_ICL_MONPP_COINS_2M	Pre-ICL Coinsurance Split Network Standard Mail Order - 2 month supply	NUM	12	X	X
PRE_ICL_MONPP_COINS_3M	Pre-ICL Coinsurance Split Network Standard Mail Order - 3 month supply	NUM	12	X	X
PRE_ICL_MONPP_COPAY_1M	Pre-ICL Copay Split Network Standard Mail Order - 1 month supply	NUM	12	X	X
PRE_ICL_MONPP_COPAY_2M	Pre-ICL Copay Split Network Standard Mail Order - 2 month supply	NUM	12	X	X
PRE_ICL_MONPP_COPAY_3M	Pre-ICL Copay Split Network Standard Mail Order - 3 month supply	NUM	12	X	X
PRE_ICL_MONPP_COPAY_DAILY	Pre-ICL Copay Split Network Standard Mail Order - 1 day supply	NUM	12	X	X
PRE_ICL_DAYS_MONPP_1M	Pre-ICL Split Network Standard Mail Order - number of days in 1 month supply	NUM	5	X	X
PRE_ICL_DAYS_MONPP_2M	Pre-ICL Split Network Standard Mail Order - number of days in 2 month supply	NUM	5	X	X
PRE_ICL_DAYS_MONPP_3M	Pre-ICL Split Network Standard Mail Order - number of days in 3 month supply	NUM	5	X	X
PRE_ICL_LTCP_COINS_1M	Pre-ICL Long Term Care Pharmacy Coinsurance for 1 month supply	NUM	12	X	X
PRE_ICL_LTCP_COPAY_1M	Pre-ICL Long Term Care Pharmacy Copay for 1 month supply	NUM	12	X	X
PRE_ICL_LTCP_COPAY_DAILY	Pre-ICL Long Term Care Pharmacy Copay for 1 day supply	NUM	12	X	X
PRE_ICL_DAYS_LTCP_1M	Pre-ICL Long Term Care Pharmacy - days in 1 month supply	NUM	5	X	X
GAP Tier Cost-Sharing (= ICL Phase)
GAP_TIER_DRUG_TYPE2	Gap Drug Type by Tier	CHAR	6*	X	X
GAP_COSTSHARE_TYPE	Gap Cost Share Type	CHAR	1	X	X
GAP_INP_COINS_1M	Gap Coinsurance Standard Retail- 1 month supply	NUM	12	X	X
GAP_INP_COINS_2M	Gap Coinsurance Standard Retail- 2 month supply	NUM	12	X	X
GAP_INP_COINS_3M	Gap Coinsurance Standard Retail- 3 month supply	NUM	12	X	X
GAP_INP_COINS_AVG_1M	Gap Average Expected Cost Sharing - Standard Retail Coinsurance 1M	NUM	12	X	X
GAP_INP_COPAY_1M	Gap Copay Standard Retail- 1 month supply	NUM	12	X	X
GAP_INP_COPAY_2M	Gap Copay Standard Retail- 2 month supply	NUM	12	X	X
GAP_INP_COPAY_3M	Gap Copay Standard Retail- 3 month supply	NUM	12	X	X
GAP_INP_COPAY_DAILY	Gap Copay Standard Retail- 1 day supply	NUM	12	X	X
GAP_DAYS_INP_1M	Gap Standard Retail- number of days in 1 month supply	NUM	5	X	X
GAP_DAYS_INP_2M	Gap Standard Retail- number of days in 2 month supply	NUM	5	X	X
GAP_DAYS_INP_3M	Gap Standard Retail- number of days in 3 month supply	NUM	5	X	X
GAP_INPP_COINS_1M	Gap Coinsurance Split Network Preferred - 1 month supply	NUM	12	X	X
GAP_INPP_COINS_2M	Gap Coinsurance Split Network Preferred - 2 month supply	NUM	12	X	X
GAP_INPP_COINS_3M	Gap Coinsurance Split Network Preferred - 3 month supply	NUM	12	X	X
GAP_INPP_COINS_AVG_1M	Gap Average Expected Cost Sharing - Split Network Preferred Coinsurance 1M	NUM	12	X	X
GAP_INPP_COPAY_1M	Gap Copay Split Network Preferred - 1 month supply	NUM	12	X	X
GAP_INPP_COPAY_2M	Gap Copay Split Network Preferred - 2 month supply	NUM	12	X	X
GAP_INPP_COPAY_3M	Gap Copay Split Network Preferred - 3 month supply	NUM	12	X	X
GAP_INPP_COPAY_DAILY	Gap Copay Split Network Preferred - 1 day supply	NUM	12	X	X
GAP_DAYS_INPP_1M	Gap Split Network Preferred - number of days in 1 month supply	NUM	5	X	X
GAP_DAYS_INPP_2M	Gap Split Network Preferred - number of days in 2 month supply	NUM	5	X	X
GAP_DAYS_INPP_3M	Gap Split Network Preferred - number of days in 3 month supply	NUM	5	X	X
GAP_INNPP_COINS_1M	Gap Coinsurance Split Network Standard Retail - 1 month supply	NUM	12	X	X
GAP_INNPP_COINS_2M	Gap Coinsurance Split Network Standard Retail - 2 month supply	NUM	12	X	X
GAP_INNPP_COINS_3M	Gap Coinsurance Split Network Standard Retail - 3 month supply	NUM	12	X	X
