CMS Chronic Conditions Warehouse (CCW) Data Dictionary
Medicare-Medicaid Linked Enrollee Analytic Data Set (MMLEADS) — Beneficiary Summary File
August 2021
File Sequence	Long SAS NAME	Label	Type	Length
114	MDCD_MC_CAPTD_SPEND_12	Medicaid Managed Care Capitated Payment Amount - December	Num	8
115	MME_TYPE_CD_01	Medicare - Medicaid Eligibility Type Code - January	Num	8
116	MME_TYPE_CD_02	Medicare - Medicaid Eligibility Type Code - February	Num	8
117	MME_TYPE_CD_03	Medicare - Medicaid Eligibility Type Code - March	Num	8
118	MME_TYPE_CD_04	Medicare - Medicaid Eligibility Type Code - April	Num	8
119	MME_TYPE_CD_05	Medicare - Medicaid Eligibility Type Code - May	Num	8
120	MME_TYPE_CD_06	Medicare - Medicaid Eligibility Type Code - June	Num	8
121	MME_TYPE_CD_07	Medicare - Medicaid Eligibility Type Code - July	Num	8
122	MME_TYPE_CD_08	Medicare - Medicaid Eligibility Type Code - August	Num	8
123	MME_TYPE_CD_09	Medicare - Medicaid Eligibility Type Code - September	Num	8
124	MME_TYPE_CD_10	Medicare - Medicaid Eligibility Type Code - October	Num	8
125	MME_TYPE_CD_11	Medicare - Medicaid Eligibility Type Code - November	Num	8
126	MME_TYPE_CD_12	Medicare - Medicaid Eligibility Type Code - December	Num	8
127	RFRNC_YR	Reference Year	Char	4
