CMS Chronic Conditions Warehouse (CCW) Data Dictionary
Medicare-Medicaid Linked Enrollee Analytic Data Set (MMLEADS) — Beneficiary Summary File
August 2021
File Sequence	Long SAS NAME	Label	Type	Length
69	MDCD_IPF_LTSS_MOS	Medicaid - IP Psych Facility for Individuals under age 21 LTSS Months	Num	8
70	MDCD_NF_LTSS_MOS	Medicaid - Nursing Facility LTSS Months	Num	8
71	MDCD_ICF_IID_LTSS_MOS	Medicaid - ICF for Individuals with Intellectual Disabilities LTSS Months	Num	8
72	MDCD_OTHER_LTSS_MOS	Medicaid - Other Type of Facility LTSS Months	Num	8
73	MDCD_CARE_LEVEL_MOS	Medicaid - Total LTSS Months (All Levels of Care)	Num	8
74	MDCD_SKILLED_CARE_MOS	Medicaid - Skilled Level of Care for LTSS Months	Num	8
75	MDCD_INTERMEDIATE_CARE_MOS	Medicaid - Intermediate Level of Care for LTSS Months	Num	8
76	MDCD_CUSTODIAL_CARE_MOS	Medicaid - Custodial Level of Care for LTSS Months	Num	8
77	MDCD_LTSS_LEVEL_MOS	Medicaid - LTSS Provider 1 Level of Care Code Months	Num	8
78	MDCR_DUAL_STUS_CD_01	Medicare - Medicaid Dual Eligibility Code - January	Char	2
79	MDCR_BUYIN_01	Medicare - Entitlement/Buy-In Indicator - January	Char	1
80	MDCR_FFS_MEDICAL_01	Medicare - Fee-for-Service Medical Coverage Indicator - January	Num	8
81	MDCR_DUAL_STUS_CD_02	Medicare - Medicaid Dual Eligibility Code - February	Char	2
82	MDCR_BUYIN_02	Medicare - Entitlement/Buy-In Indicator - February	Char	1
83	MDCR_FFS_MEDICAL_02	Medicare - Fee-for-Service Medical Coverage Indicator - February	Num	8
84	MDCR_DUAL_STUS_CD_03	Medicare - Medicaid Dual Eligibility Code - March	Char	2
85	MDCR_BUYIN_03	Medicare - Entitlement/Buy-In Indicator - March	Char	1
86	MDCR_FFS_MEDICAL_03	Medicare - Fee-for-Service Medical Coverage Indicator - March	Num	8
87	MDCR_DUAL_STUS_CD_04	Medicare - Medicaid Dual Eligibility Code - April	Char	2
88	MDCR_BUYIN_04	Medicare - Entitlement/Buy-In Indicator - April	Char	1
89	MDCR_FFS_MEDICAL_04	Medicare - Fee-for-Service Medical Coverage Indicator - April	Num	8
90	MDCR_DUAL_STUS_CD_05	Medicare - Medicaid Dual Eligibility Code - May	Char	2
91	MDCR_BUYIN_05	Medicare - Entitlement/Buy-In Indicator - May	Char	1
92	MDCR_FFS_MEDICAL_05	Medicare - Fee-for-Service Medical Coverage Indicator - May	Num	8
93	MDCR_DUAL_STUS_CD_06	Medicare - Medicaid Dual Eligibility Code - June	Char	2
94	MDCR_BUYIN_06	Medicare - Entitlement/Buy-In Indicator - June	Char	1
95	MDCR_FFS_MEDICAL_06	Medicare - Fee-for-Service Medical Coverage Indicator - June	Num	8
96	MDCR_DUAL_STUS_CD_07	Medicare - Medicaid Dual Eligibility Code - July	Char	2
97	MDCR_BUYIN_07	Medicare - Entitlement/Buy-In Indicator - July	Char	1
98	MDCR_FFS_MEDICAL_07	Medicare - Fee-for-Service Medical Coverage Indicator - July	Num	8
99	MDCR_DUAL_STUS_CD_08	Medicare - Medicaid Dual Eligibility Code - August	Char	2
100	MDCR_BUYIN_08	Medicare - Entitlement/Buy-In Indicator - August	Char	1
101	MDCR_FFS_MEDICAL_08	Medicare - Fee-for-Service Medical Coverage Indicator - August	Num	8
102	MDCR_DUAL_STUS_CD_09	Medicare - Medicaid Dual Eligibility Code - September	Char	2
103	MDCR_BUYIN_09	Medicare - Entitlement/Buy-In Indicator - September	Char	1
104	MDCR_FFS_MEDICAL_09	Medicare - Fee-for-Service Medical Coverage Indicator - September	Num	8
105	MDCR_DUAL_STUS_CD_10	Medicare - Medicaid Dual Eligibility Code - October	Char	2
106	MDCR_BUYIN_10	Medicare - Entitlement/Buy-In Indicator - October	Char	1
107	MDCR_FFS_MEDICAL_10	Medicare - Fee-for-Service Medical Coverage Indicator - October	Num	8
108	MDCR_DUAL_STUS_CD_11	Medicare - Medicaid Dual Eligibility Code - November	Char	2
109	MDCR_BUYIN_11	Medicare - Entitlement/Buy-In Indicator - November	Char	1
110	MDCR_FFS_MEDICAL_11	Medicare - Fee-for-Service Medical Coverage Indicator - November	Num	8
111	MDCR_DUAL_STUS_CD_12	Medicare - Medicaid Dual Eligibility Code - December	Char	2
112	MDCR_BUYIN_12	Medicare - Entitlement/Buy-In Indicator - December	Char	1
