variable_id,variable_name,variable_label,definition,source,source_url,source_document,extraction_notes
acsc-admission-copd-or-asthma,ACSC_ADM_COPD,ACSC admission for COPD or Asthma,,resdac_variable_page,https://resdac.org/cms-data/variables/acsc-admission-copd-or-asthma,data/raw/html/variable_page/d9a1f4ead544ce3f02207a950e827ca368ce2828.html,
acsc-admission-dehydration,ACSC_ADM_DH,ACSC admission for dehydration,,resdac_variable_page,https://resdac.org/cms-data/variables/acsc-admission-dehydration,data/raw/html/variable_page/03392f6130cc93717bb20679819b445449907412.html,
acsc-admission-diabetes,ACSC_ADM_DIA,ACSC admission for diabetes,,resdac_variable_page,https://resdac.org/cms-data/variables/acsc-admission-diabetes,data/raw/html/variable_page/2144c1972621f310b22c0ee289ed31a022a80b2f.html,
acsc-admission-heart-failure,ACSC_ADM_HF,ACSC admission for heart failure,,resdac_variable_page,https://resdac.org/cms-data/variables/acsc-admission-heart-failure,data/raw/html/variable_page/628519b86ab3cf6a7c2b44bbb17e179c078e3b61.html,
acsc-admission-pneumonia,ACSC_ADM_PN,ACSC admission for pneumonia,,resdac_variable_page,https://resdac.org/cms-data/variables/acsc-admission-pneumonia,data/raw/html/variable_page/a27366bb9f33ca8defec397f3d2459ab14a9bf89.html,
acsc-admission-uti,ACSC_ADM_UTI,ACSC admission for UTI,,resdac_variable_page,https://resdac.org/cms-data/variables/acsc-admission-uti,data/raw/html/variable_page/c54f58c5fda71466cc8f15d7111b8443ebc5ed2d.html,
active-practice-y-or-inactive-practice-n,IS_ACTIVE,Active Practice (Y) or Inactive Practice (N),,resdac_variable_page,https://resdac.org/cms-data/variables/active-practice-y-or-inactive-practice-n,data/raw/html/variable_page/7e231f992ef87ee33b4e968ff7111fc7629133b3.html,
actual-service-quantity,ACTL_SRVC_QTY,Actual Service Quantity,,resdac_variable_page,https://resdac.org/cms-data/variables/actual-service-quantity,data/raw/html/variable_page/84de4a34f09f42311233487f6849eda7c4e53518.html,
acute-inpatient-hospital-beneficiary-payments,NCH_BENE_IP_DDCTBL_AMT,Acute Inpatient Hospital Beneficiary Payments,,resdac_variable_page,https://resdac.org/cms-data/variables/acute-inpatient-hospital-beneficiary-payments,data/raw/html/variable_page/2f0c37567d88fb35b2c15037bfc46e72511e43f4.html,
acute-inpatient-hospital-pass-thru-diem-payments,CLM_PASS_THRU_PER_DIEM_AMT,Acute Inpatient Hospital Pass-thru Per Diem Payments,,resdac_variable_page,https://resdac.org/cms-data/variables/acute-inpatient-hospital-pass-thru-diem-payments,data/raw/html/variable_page/ec2e3e0c2c9b4444aaaf35945502164919dfd0e9.html,
acute-inpatient-hospital-primary-payer-amount,NCH_PRMRY_PYR_CLM_PD_AMT,Acute Inpatient Hospital Primary Payer Amount,,resdac_variable_page,https://resdac.org/cms-data/variables/acute-inpatient-hospital-primary-payer-amount,data/raw/html/variable_page/6a059bbcc8b3f6d497ab9f0040896a49b52748d7.html,
acute-inpatient-hospital-readmissions,CLM_FROM_DT,Acute Inpatient Hospital Readmissions,,resdac_variable_page,https://resdac.org/cms-data/variables/acute-inpatient-hospital-readmissions,data/raw/html/variable_page/05600be7bda5271b3e1999dc232e06b21627bc8e.html,
acute-inpatient-medicare-covered-days,CLM_UTLZTN_DAY_CNT,Acute Inpatient Medicare Covered Days,,resdac_variable_page,https://resdac.org/cms-data/variables/acute-inpatient-medicare-covered-days,data/raw/html/variable_page/0322497beca5704cc8abfdba454a21143b1cf678.html,
acute-inpatient-medicare-payments,CLM_PMT_AMT,Acute Inpatient Medicare Payments,,resdac_variable_page,https://resdac.org/cms-data/variables/acute-inpatient-medicare-payments,data/raw/html/variable_page/1a1d8ded4d7f6011040948a6a2e4156190067528.html,
acute-inpatient-stays,ACUTE_STAYS,Acute Inpatient Stays,,resdac_variable_page,https://resdac.org/cms-data/variables/acute-inpatient-stays,data/raw/html/variable_page/90e52a9c64f23342abf890c2c067becf20923732.html,
acute-myocardial-infarction-end-year-indicator,,Acute Myocardial Infarction End-of-Year Indicator,,resdac_variable_page,https://resdac.org/cms-data/variables/mbsf-30-cc/acute-myocardial-infarction-end-year-indicator,data/raw/html/variable_page/53f630718cd2f9193bfbaaccc39e051e90fe3a1f.html,variable name not found on page
acute-myocardial-infarction-indicator-combined-data,AMI_COMBINED,Acute Myocardial Infarction Indicator - Combined Data,,resdac_variable_page,https://resdac.org/cms-data/variables/acute-myocardial-infarction-indicator-combined-data,data/raw/html/variable_page/2f3706bb6ce2030b3ac4d56a349487062f8bede2.html,
acute-myocardial-infarction-indicator-medicaid-only,AMI_MEDICAID,Acute Myocardial Infarction Indicator - Medicaid-Only,,resdac_variable_page,https://resdac.org/cms-data/variables/acute-myocardial-infarction-indicator-medicaid-only,data/raw/html/variable_page/d1844d1602c95493cea880c68a2a8212a81226f1.html,
acute-myocardial-infarction-indicator-medicare-only,AMI_MEDICARE,Acute Myocardial Infarction Indicator - Medicare-Only,,resdac_variable_page,https://resdac.org/cms-data/variables/acute-myocardial-infarction-indicator-medicare-only,data/raw/html/variable_page/ac36335370d30a9bba32e868748580b227243c34.html,
acute-myocardial-infarction-mid-year-indicator,AMI_MID,Acute Myocardial Infarction Mid-Year Indicator,,resdac_variable_page,https://resdac.org/cms-data/variables/mbsf-27-cc/acute-myocardial-infarction-mid-year-indicator,data/raw/html/variable_page/2b377810aaee0c5883a36134857b183b575f21a5.html,
adhd-and-other-conduct-disorders-first-ever-occurrence-date-medicare-only-claims,ACP_MEDICARE_EVER,ADHD and Other Conduct Disorders First Ever Occurrence Date - Medicare Only Claims,,resdac_variable_page,https://resdac.org/cms-data/variables/adhd-and-other-conduct-disorders-first-ever-occurrence-date-medicare-only-claims,data/raw/html/variable_page/83828720410864b647f2ff5fa133c4b83a375a4f.html,
adhd-and-other-conduct-disorders-indicator-combined-data,ACP_COMBINED,ADHD and Other Conduct Disorders Indicator - Combined Data,,resdac_variable_page,https://resdac.org/cms-data/variables/adhd-and-other-conduct-disorders-indicator-combined-data,data/raw/html/variable_page/f8088aa97927f8f76b34b9a17a4516342947b69a.html,
adhd-and-other-conduct-disorders-indicator-medicaid-only-data,ACP_MEDICAID,ADHD and Other Conduct Disorders Indicator - Medicaid Only Data,,resdac_variable_page,https://resdac.org/cms-data/variables/adhd-and-other-conduct-disorders-indicator-medicaid-only-data,data/raw/html/variable_page/08a1f97b169f76aa51fa091b6e61521173415a9b.html,
adhd-and-other-conduct-disorders-indicator-medicare-only-data,ACP_MEDICARE,ADHD and Other Conduct Disorders Indicator - Medicare Only Data,,resdac_variable_page,https://resdac.org/cms-data/variables/adhd-and-other-conduct-disorders-indicator-medicare-only-data,data/raw/html/variable_page/676a4df8ff848aecc8dbde4e9299a82a6e2fc5e9.html,
adhd-and-other-conduct-disorders-indicator-medicare-only-data-mbsf,ACP_MEDICARE,ADHD and Other Conduct Disorders Indicator - Medicare Only Data (MBSF),,resdac_variable_page,https://resdac.org/cms-data/variables/adhd-and-other-conduct-disorders-indicator-medicare-only-data-mbsf,data/raw/html/variable_page/d2c5c32882b3f4c2c8fcb68a410ab97189e44a23.html,
adi-national-percentile-rank,ADI_NATRANK,ADI National Percentile Rank,,resdac_variable_page,https://resdac.org/cms-data/variables/adi-national-percentile-rank,data/raw/html/variable_page/ea2faa87eb8095bf5718b82c3c5bce535234be2f.html,
adjudication-date,ADJDCTN_DT,Adjudication Date,,resdac_variable_page,https://resdac.org/cms-data/variables/adjudication-date,data/raw/html/variable_page/36f5dae7876be1c009755f7619e93147f9a63d9c.html,
adjustment-claim-identifier,CLM_NUM_ADJ,Adjustment Claim Identifier,,resdac_variable_page,https://resdac.org/cms-data/variables/adjustment-claim-identifier,data/raw/html/variable_page/39b5c34fbf434b1898bce9af99de17ab7a231118.html,
adjustment-claim-line-number,LINE_NUM_ADJ,Adjustment Claim Line Number,,resdac_variable_page,https://resdac.org/cms-data/variables/adjustment-claim-line-number,data/raw/html/variable_page/43467f5809b650ecff40addeef2d317d6611700b.html,
adjustment-code,ADJUST_CD,Adjustment code,,resdac_variable_page,https://resdac.org/cms-data/variables/adjustment-code,data/raw/html/variable_page/fe222a43747c99cdac7aee098b4d3b8e5f1f571e.html,
adjustment-deletion-code,ADJSTMT_DLTN_CD,Adjustment Deletion Code,,resdac_variable_page,https://resdac.org/cms-data/variables/adjustment-deletion-code,data/raw/html/variable_page/9b4fc7b80ca05b91fd581e55e05dde89f21eeb0a.html,
